participant_id,question_order,item_id
P01,1,B01
P01,2,A02
P01,3,A03
P01,4,B02
P01,5,A01
P02,1,B01
P02,2,B03
P02,3,A04
P02,4,A05
P02,5,A01
P03,1,B04
P03,2,B02
P03,3,A04
P03,4,A06
P03,5,A02
P04,1,B03
P04,2,A05
P04,3,B04
P04,4,A06
P04,5,A03
P05,1,A08
P05,2,A07
P05,3,A09
P05,4,B05
P05,5,B06
P06,1,A10
P06,2,B05
P06,3,A11
P06,4,B07
P06,5,A07
P07,1,B06
P07,2,A12
P07,3,A08
P07,4,B08
P07,5,A10
P08,1,A13
P08,2,A11
P08,3,A09
P08,4,B09
P08,5,B07
P09,1,B10
P09,2,B08
P09,3,A15
P09,4,A12
P09,5,A14
P10,1,A13
P10,2,A14
P10,3,B10
P10,4,A15
P10,5,B09
