题型,题目,选项1,选项2,选项3,选项4,选项5,选项6,答案,答案解析,分值
单选题,参与同意：我愿意参加这项匿名问卷。选择“不愿意”后应由问卷平台结束问卷。,愿意,不愿意,,,,,,,0
单选题,您教书多少年了？,8–10 年,11–15 年,16–20 年,20 年以上,,,,,0
单选题,您主要教哪个阶段？,小学,初中,高中,多个阶段,,,,,0
多选题,您主要教什么学科？,语文,数学,物理,化学,其他,,,,0
单选题,您现在主要从事什么工作？,课堂教学,教研并兼任教学,教学管理并兼任教学,其他,,,,,0
单选题,您平时使用 AI 工具帮助教学吗？,从不,偶尔,每月几次,每周或更频繁,,,,,0
单选题,练习题：对话 A 反复问答而没有继续解释；对话 B 从温度升高继续讲到水分子运动、气泡形成并给出烧水实例。哪段对话较少重复，而且能继续增加有用的新内容？,A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,E,练习反馈：应选择‘B 好很多’，本题不计入正式结果。,0
单选题,"【正式题 1】
年级阶段：小学（六年级）
学科：语文
主题：黑孩子罗伯特

【对话 A】
［前段］
学生：我觉得就算罗伯特没受过歧视，他可能还是会捐钱，但肯定没有现在这么坚决。正因为那些'黑鬼'的伤害让他…
老师：说得太好了！'被雨淋过的人，才会更快地给别人撑伞'——这个比喻很贴切。罗伯特正是因为自己淋过歧视的…
学生：我来总结一下罗伯特的形象特点：首先，他生活在充满歧视的环境里，却从不怨恨别人；其次，他把自己最珍贵…
［中段］
学生：老师，您说得对，这两个细节确实最能说明问题，我现在更明白罗伯特是在怎样的环境里长大的了。
老师：你不仅找到了这两个关键细节，还把它们和罗伯特的成长环境联系起来了——'白人同学不愿意跟他坐同桌'这…
学生：老师，我认同您说的，歧视不只是大人的态度，连同学都这样对他，罗伯特真的太不容易了。
［后段］
老师：你对比得很透彻——两个‘不敢’都是渴望与自我保护在拉扯。那老师想请你再往前想一步：从‘偷偷看’到‘…
学生：我觉得罗伯特是在一点点变化的。因为一开始他连看都不敢光明正大地看，只能偷偷地看一眼；后来到了丽莎家…
老师：你刚才说罗伯特从'偷偷看'到'放下花'，是在一点点变化。那老师想请你深入想一想：他放下花的那一刻，…

【对话 B】
［前段］
学生：我找到了！课文里写“雨哗哗地下着，马路变成了泥河”，还有“他深一脚浅一脚地走着”，这些词就写出了雨…
老师：你找得很准确。现在老师想请大家想一想：作者为什么要花这么多笔墨，特意写“雨哗哗地下着”“深一脚浅一…
学生：我觉得如果删掉这些描写，就感受不到罗伯特送报纸有多艰难了。因为“雨哗哗地下着”和“深一脚浅一脚”能…
［中段］
学生：老师，我想起一件事，有一次我在学校和同桌吵架了，我气得一天没理他。后来他主动跟我道歉，我心里那个疙…
老师：你能从自己的亲身经历中体会到道歉带来的那种释然，这很好。那老师想请你再想一想：丽莎爸爸说出这句'对…
学生：我觉得这句""对不起""对丽莎爸爸自己来说，就像把他心里那块压了很久的大石头搬走了一样。因为他以前一直…
［后段］
老师：你说这种犹豫和不舍，其实和罗伯特放下小飞机模型时的感受很像。那老师想听听你自己的判断——如果换作你…
学生：我想我会的，因为虽然小飞机模型对我来说很珍贵，但要是能救回一个好朋友的命，那比什么都重要。就像我奶…
老师：你说你会先舍不得一下，但最后还是会像罗伯特那样放下。那老师想听听你自己的看法——你觉得在你做出这个…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 1：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【正式题 1：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
